epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4835,1.27753,2.93833,1.09741,0.01104,1,0.99035,0.65135,0.96584,2.76569,0.87749,0.00022,0.00022,0.00022
2,87.8559,1.15337,1.73054,1.07214,1,0.50732,0.9724,0.65634,0.98029,2.75096,0.9214,0.000455446,0.000455446,0.000455446
3,131.387,1.06363,1.44727,1.04403,0.01299,1,0.96708,0.64448,1.00541,2.83393,0.97659,0.00068614,0.00068614,0.00068614
4,174.025,1.16741,1.46523,1.08267,0.9113,0.17745,0.71865,0.35295,1.47601,3.14816,1.20833,0.000912082,0.000912082,0.000912082
5,214.625,1.15595,1.33702,1.06072,0.91086,0.63793,0.84385,0.48291,1.26994,2.29466,1.0976,0.00113327,0.00113327,0.00113327
6,255.906,1.11822,1.34114,1.08734,0.90938,0.86514,0.9562,0.62527,1.08883,1.97938,1.02038,0.00134971,0.00134971,0.00134971
7,295.023,1.0733,1.31301,1.07359,0.98137,0.90808,0.9888,0.71516,0.96921,1.76909,1.02501,0.0015614,0.0015614,0.0015614
8,334.18,1.10178,1.24029,1.09252,0.92905,0.90311,0.93565,0.63695,1.14305,1.81598,1.0926,0.00176833,0.00176833,0.00176833
9,373.144,1.12359,1.20798,1.11088,0.07295,0.12069,0.05419,0.03525,1.29738,3.40727,1.31269,0.0018416,0.0018416,0.0018416
10,412.578,1.10192,1.07316,1.08609,0.13637,0.44828,0.21054,0.13202,1.1489,4.59254,1.23164,0.0018218,0.0018218,0.0018218
11,455.03,1.05633,1.0408,1.07377,0.8777,0.74241,0.78938,0.59408,0.93505,2.15286,0.97824,0.001802,0.001802,0.001802
12,493.371,0.98136,0.94071,1.038,0.87701,0.86207,0.90235,0.55407,1.28635,1.55109,1.08449,0.0017822,0.0017822,0.0017822
13,533.409,1.01518,0.95575,1.06374,0.63938,0.7948,0.79865,0.60471,0.98621,2.01836,1.00106,0.0017624,0.0017624,0.0017624
14,574.496,1.06938,0.95879,1.07708,0.99417,1,0.995,0.77732,0.87969,0.8526,0.97083,0.0017426,0.0017426,0.0017426
15,615.391,0.98065,0.865,1.05073,0.9655,0.96515,0.98975,0.75271,0.90836,0.82073,1.00434,0.0017228,0.0017228,0.0017228
