epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,527.25,1.13035,1.0729,1.09912,0.99805,1,0.995,0.72679,0.97677,0.94108,1.00319,0.001208,0.001208,0.001208
22,550.48,1.02783,0.95084,1.02503,1,0.99636,0.995,0.73474,0.91329,0.98286,0.95179,0.0011684,0.0011684,0.0011684
23,573.938,1.00012,0.97244,1.09205,1,0.99668,0.995,0.74927,0.98597,0.9044,0.93439,0.0011288,0.0011288,0.0011288
24,597.578,1.04503,0.94931,1.01922,0.99729,1,0.995,0.79826,0.84657,0.77158,0.91699,0.0010892,0.0010892,0.0010892
25,620.987,1.01794,0.91332,1.01868,0.9982,1,0.995,0.79541,0.84714,0.7788,0.92545,0.0010496,0.0010496,0.0010496
26,644.447,1.04692,0.94194,1.05117,1,0.99895,0.995,0.75819,0.92367,0.87885,0.92506,0.00101,0.00101,0.00101
27,667.991,1.01669,0.91832,1.01153,1,0.99556,0.995,0.785,0.90377,0.85696,0.91693,0.0009704,0.0009704,0.0009704
28,691.428,0.97706,0.8675,1.01771,1,0.99755,0.995,0.76159,0.91444,0.80449,0.94031,0.0009308,0.0009308,0.0009308
29,715.084,0.91927,0.89009,1.00345,1,0.99886,0.995,0.74084,0.8901,0.78543,0.93487,0.0008912,0.0008912,0.0008912
30,738.751,0.96348,0.83338,1.02022,0.99013,1,0.995,0.77024,0.89762,0.75353,0.94106,0.0008516,0.0008516,0.0008516
31,762.674,0.99481,0.85657,1.07202,1,0.98731,0.995,0.76753,0.87829,0.74637,0.93829,0.000812,0.000812,0.000812
32,786.209,0.97132,0.88967,1.04612,0.99848,1,0.995,0.77358,0.8707,0.72833,0.93464,0.0007724,0.0007724,0.0007724
33,809.75,0.93999,0.79663,1.00058,0.99782,1,0.995,0.77792,0.87583,0.70597,0.92865,0.0007328,0.0007328,0.0007328
34,833.372,0.95171,0.80598,1.00456,0.99762,1,0.995,0.76696,0.89028,0.70679,0.94257,0.0006932,0.0006932,0.0006932
35,856.738,0.92632,0.79922,1.00906,0.9978,1,0.995,0.75483,0.90123,0.73106,0.95512,0.0006536,0.0006536,0.0006536
36,880.554,0.94545,0.77582,1.04029,0.99775,1,0.995,0.76166,0.88996,0.72136,0.9549,0.000614,0.000614,0.000614
37,904.307,0.87581,0.74092,1.00718,0.99795,1,0.995,0.75955,0.88865,0.72889,0.94837,0.0005744,0.0005744,0.0005744
38,928.084,0.90641,0.7639,0.99943,0.9979,1,0.995,0.7588,0.87016,0.71148,0.93625,0.0005348,0.0005348,0.0005348
39,951.67,0.89448,0.74256,0.99939,0.99778,1,0.995,0.77534,0.84824,0.68499,0.92949,0.0004952,0.0004952,0.0004952
40,975.184,0.8658,0.71655,0.98847,0.99762,1,0.995,0.78587,0.83097,0.66558,0.9271,0.0004556,0.0004556,0.0004556
41,998.352,0.8113,0.83934,0.95225,0.99597,1,0.995,0.78564,0.83463,0.65254,0.93404,0.000416,0.000416,0.000416
42,1020.85,0.81331,0.78115,0.95743,0.99683,1,0.995,0.796,0.81948,0.66287,0.93174,0.0003764,0.0003764,0.0003764
43,1043.12,0.86066,0.83029,1.00324,0.99719,1,0.995,0.79592,0.81405,0.68161,0.93496,0.0003368,0.0003368,0.0003368
44,1065.2,0.81111,0.82406,1.01971,0.9975,1,0.995,0.79593,0.83507,0.6647,0.94051,0.0002972,0.0002972,0.0002972
45,1087.22,0.80331,0.79632,0.96254,0.99754,1,0.995,0.78018,0.83594,0.64696,0.94147,0.0002576,0.0002576,0.0002576
46,1109.58,0.79772,0.75721,0.96199,0.99759,1,0.995,0.78134,0.84833,0.61533,0.94161,0.000218,0.000218,0.000218
47,1131.81,0.78137,0.74871,0.95276,0.99764,1,0.995,0.78142,0.84522,0.60506,0.93878,0.0001784,0.0001784,0.0001784
48,1153.99,0.79353,0.72411,0.95072,0.99767,1,0.995,0.79595,0.83758,0.59279,0.93445,0.0001388,0.0001388,0.0001388
49,1176.25,0.8242,0.73132,0.96082,0.99767,1,0.995,0.79934,0.83539,0.59334,0.9318,9.92e-05,9.92e-05,9.92e-05
50,1198.58,0.80064,0.72364,0.93623,0.99772,1,0.995,0.78965,0.8248,0.59502,0.92765,5.96e-05,5.96e-05,5.96e-05
